,name,rating,address,description,review,alias,image_url,is_closed,review_count,coordinates,location,display_phone,price,hours,transactions,languages,attributes,transit,best_time,delivery,pickup,online_ordering
24,La Musa,5,"Calle de Manuela Malasaña, 18, 28004 Madrid, Spain",Bars Mediterranean Breakfast & Brunch ,"Had a great lunch amongst the 4 of us, w fresh salads, fried Green tomatoes, langosti ba, venison, and duck gyozas. our waiter Luis was great! highly.... My partner and I stopped by La Musa for some lunch while visiting Madrid. The food was absolutely amazing, the staff were great, the atmosphere was lively.... Fun night out in Madrid. Small restaurant with very friendly helpful waitstaff. Ordered the tasting menu which is a good mix of the tapas. Would recommend.... ",la-musa-madrid,https://s3-media1.fl.yelpcdn.com/bphoto/aiXijsWdsJDxHcpib3lf7g/o.jpg,False,92,"{'latitude': 40.42879, 'longitude': -3.70439}","{'address1': 'Calle de Manuela Malasaña, 18', 'address2': '', 'address3': '', 'city': 'Madrid', 'zip_code': '28004', 'country': 'ES', 'state': 'M', 'display_address': ['Calle de Manuela Malasaña, 18', '28004 Madrid', 'Spain']}",+34 914 48 75 58,La Musa,,[],,,,,,,
25,Txirimiri,5,"Calle del Humilladero, 6, 28005 Madrid, Spain",Basque Tapas/Small Plates Seafood ,"After a day of shopping all things football, we asked a local where they recommend we go for dinner. Couldn't make out what he was saying so he wrote it out.... Popped in for a quick standing tapas lunch at around noon. It happened to be Spanish mother's day and they hooked me up with a red carnation, swoon. A nice.... Get a glass or two of Spanish wine for €2-3. Get a couple tapas snacks for €2-4. Then hop to the next place and do it again. Get a night of packed bars,.... ",txirimiri-madrid-2,https://s3-media1.fl.yelpcdn.com/bphoto/L5Mo6cfDFOTR5aklJS61EA/o.jpg,False,56,"{'latitude': 40.4110926, 'longitude': -3.7105837}","{'address1': 'Calle del Humilladero, 6', 'address2': '', 'address3': '', 'city': 'Madrid', 'zip_code': '28005', 'country': 'ES', 'state': 'M', 'display_address': ['Calle del Humilladero, 6', '28005 Madrid', 'Spain']}",+34 913 64 11 96,Txirimiri,,[],,,,,,,
26,Casa Benigna,5,"Calle Benigno Soto, 9, 28002 Madrid, Spain",Arroceria / Paella ,"Casa Benigna and its staff were absolutely wonderful! It was recommended to me by a Madrileño friend as having the best rice, and that was totally accurate..... EAT HERE IMMEDIATELY! I cannot recommend this quaint restaurant enough!The staff is amazing, caring and genuine. Impeccable service. They treat you like.... Great food and outstanding service-good interiors My husband and i came for pre birthday dinner and not only enjoyed the food but the owners were so.... ",casa-benigna-madrid,https://s3-media2.fl.yelpcdn.com/bphoto/tbpiqnDkAshi2LiU9CMs3Q/o.jpg,False,61,"{'latitude': 40.448094, 'longitude': -3.6743163}","{'address1': 'Calle Benigno Soto, 9', 'address2': None, 'address3': None, 'city': 'Madrid', 'zip_code': '28002', 'country': 'ES', 'state': 'M', 'display_address': ['Calle Benigno Soto, 9', '28002 Madrid', 'Spain']}",+34 914 13 33 56,Casa Benigna,,[],,,,,,,
27,Restaurante Corral de la Moreria,5,"Calle de la Moreria, 17, 28005 Madrid, Spain",Spanish Tapas Bars ,"If I could recommend doing one thing in Madrid, it would be this. From start to finish, this was an incredible and lovely experience. 

The service is.... Out of Country Review - Spain

Went to Restaurante Corral De La Moreria on Sunday night. The show makes this a can't miss experience, even though a few.... The BEST Tablao Flamenco show PERIOD. 

Every year we go to Madrid we never miss dining at Corral De La Moreria. 

You feel and hear every move and breath.... ",restaurante-corral-de-la-moreria-madrid,https://s3-media3.fl.yelpcdn.com/bphoto/0T_OOSmbku0SxM1r5Qmg2A/o.jpg,False,80,"{'latitude': 40.412714, 'longitude': -3.714275}","{'address1': 'Calle de la Moreria, 17', 'address2': None, 'address3': None, 'city': 'Madrid', 'zip_code': '28005', 'country': 'ES', 'state': 'M', 'display_address': ['Calle de la Moreria, 17', '28005 Madrid', 'Spain']}",+34 913 65 84 46,Restaurante Corral de la Moreria,,[],,,,,,,
28,Alhambra,4,"Calle de la Victoria, 9, 28012 Madrid, Spain",Spanish Tapas/Small Plates ,"Hit this joint with my wife in Madrid (Spain).  Super cool spot, everyone was super busy, but that didn't impact the awesome service we received.  Food and.... Stop. 
First thing you need to do is make sure you are in the right restaurant. 
Do Not go into #7 Barrilla Alhambra. That  is not the correct restaurant..... A great place to eat that is close to Sol, and not too touristy. Many of the restaurants in the area promise authentic food only for it to be middle of the.... ",alhambra-madrid-3,https://s3-media3.fl.yelpcdn.com/bphoto/X_Mg5SeKdWKfvkqPf2LnRw/o.jpg,False,453,"{'latitude': 40.41587, 'longitude': -3.7016}","{'address1': 'Calle de la Victoria, 9', 'address2': '', 'address3': '', 'city': 'Madrid', 'zip_code': '28012', 'country': 'ES', 'state': 'M', 'display_address': ['Calle de la Victoria, 9', '28012 Madrid', 'Spain']}",+34 915 21 07 08,Alhambra,,[],,,,,,,
29,Angelita,5,"Calle de la Reina, 4, 28004 Madrid, Spain",Spanish Wine Bars Cocktail Bars ,"Really nice cozy place in the heart of Madrid !!

Great server!. We are huge winos, so my wife surprised me with this experience. In America this bill would of easily been $120-150 here with tip we spent $60. Im legit.... Having been living in Madrid for about a month now I can easily say that Angelita has been in my top two if not, my favorite dining experience. We made.... ",angelita-madrid-2,https://s3-media2.fl.yelpcdn.com/bphoto/zeWQ9JQIJWMAWBwM_83EoA/o.jpg,False,30,"{'latitude': 40.420276, 'longitude': -3.700387}","{'address1': 'Calle de la Reina, 4', 'address2': '', 'address3': '', 'city': 'Madrid', 'zip_code': '28004', 'country': 'ES', 'state': 'M', 'display_address': ['Calle de la Reina, 4', '28004 Madrid', 'Spain']}",+34 915 21 66 78,Angelita,,[],,,,,,,
30,Carmencita,5,"Calle San Vicente Ferrer 57, 28015 Madrid, Spain",Modern European Breakfast & Brunch ,"Una vez vine con algunos familiares y de verdad que quedamos asombrados con la buena atención y la comida, todo era muy especial y rico, volveremos a venir.... This place was amazing! The food was soo delicious and they had traditional, vegetarian, and vegan options! The freshly squeezed Oj was very tasty. They do.... Cute quant brunch spot. Food is A+++ and service was amazing!!! Price of food was also good.  They have mimosas by the pitcher for 8€ and brunch is all day..... ",carmencita-madrid,https://s3-media3.fl.yelpcdn.com/bphoto/FkyLcJlMFXAUlC_83O5AZw/o.jpg,False,156,"{'latitude': 40.426088, 'longitude': -3.707439}","{'address1': 'Calle San Vicente Ferrer 57', 'address2': '', 'address3': '', 'city': 'Madrid', 'zip_code': '28015', 'country': 'ES', 'state': 'M', 'display_address': ['Calle San Vicente Ferrer 57', '28015 Madrid', 'Spain']}",+34 910 00 38 90,Carmencita,,[],,,,,,,
31,Viva Burger,5,"Costanilla de San Andrés, 16, 28005 Madrid, Spain",Burgers Vegetarian ,"La comida aquí es tan deliciosa que no quise terminar para poder prolongar ese buen momento. No pude creer la variedad de opciones que me forzaban a pensar.... We got 3 burgers and we all shared. I loved each one! We got the mallorquina burger, the bombay burger, and the chingona burger. The mallorquina was.... Excellent food and service. Great location close to the Palace and worth 5 mins walk for amazing food. ",viva-burger-madrid,https://s3-media4.fl.yelpcdn.com/bphoto/UjzwxEAg-NMrdQV-NzBlEw/o.jpg,False,34,"{'latitude': 40.41247, 'longitude': -3.71181}","{'address1': 'Costanilla de San Andrés, 16', 'address2': '', 'address3': '', 'city': 'Madrid', 'zip_code': '28005', 'country': 'ES', 'state': 'M', 'display_address': ['Costanilla de San Andrés, 16', '28005 Madrid', 'Spain']}",+34 913 66 33 49,Viva Burger,,[],,,,,,,
32,Casa Lucio,4,"Calle de la Cava Baja, 35, 28005 Madrid, Spain",Spanish Basque ,"Casa Lucio es un lugar encantador. Menú lleno de platos tradicionales y es todo una institución en Madrid. For a good meal in a nostalgic atmosphere, you'll want to check out Casa Lucio. It came recommended by a local, so we headed over. We did not make.... Casa Lucio has an elegant dining space on Calle de la Cava Baja.

Huevos Rotos is a simple dish with French fries, sunny side fried eggs, and salchichón.... ",casa-lucio-madrid,https://s3-media4.fl.yelpcdn.com/bphoto/VmcfmYZT706VQ2JO_37a6A/o.jpg,False,79,"{'latitude': 40.412065, 'longitude': -3.709717}","{'address1': 'Calle de la Cava Baja, 35', 'address2': None, 'address3': None, 'city': 'Madrid', 'zip_code': '28005', 'country': 'ES', 'state': 'M', 'display_address': ['Calle de la Cava Baja, 35', '28005 Madrid', 'Spain']}",+34 913 65 32 52,Casa Lucio,,[],,,,,,,
33,Pizzaiolo,5,"Calle de Hortaleza, 84, 28004 Madrid, Spain",Italian Pizza ,"This might be our family's favorite restaurant in Madrid. Yes, the pizza, food, and dessert are wonderful; however, what makes it just a touch above, is the.... This is by far the best pizza I have had, amazing!! My girlfriend also had pasta and it was just really good. Would 100% recommend.. Best pizza I've ever had! 

This place was such a gem; wanted to go to pizzateca due to the reviews on Yelp originally but it was closed so we came here and.... ",pizzaiolo-madrid,https://s3-media3.fl.yelpcdn.com/bphoto/YCCIO1GLmriiIspA6K6JwA/o.jpg,False,115,"{'latitude': 40.42375, 'longitude': -3.69851}","{'address1': 'Calle de Hortaleza, 84', 'address2': None, 'address3': None, 'city': 'Madrid', 'zip_code': '28004', 'country': 'ES', 'state': 'M', 'display_address': ['Calle de Hortaleza, 84', '28004 Madrid', 'Spain']}",+34 913 19 29 64,Pizzaiolo,,[],,,,,,,
34,Cafelito,5,"Calle Sombrerete, 20, 28012 Madrid, Spain",Coffee & Tea Breakfast & Brunch ,"This joint was near the AirBnb but I walked back here EVERY morning of my seven day trip!  Smallish cafe with counter in front and tables in the back, you.... Amazing place, wonderful people and very tasty food
I totally recommend if you want to spend in very energized and super friendly atmosphere.. Excellent coffee. Excellent staff. We visited twice while lodging nearby in Madrid. It's a quiet place with a great vibe.. ",cafelito-madrid,https://s3-media3.fl.yelpcdn.com/bphoto/Sn6aaZuaB8J8lZqHAkFx8A/o.jpg,False,66,"{'latitude': 40.40834, 'longitude': -3.70278}","{'address1': 'Calle Sombrerete, 20', 'address2': '', 'address3': '', 'city': 'Madrid', 'zip_code': '28012', 'country': 'ES', 'state': 'M', 'display_address': ['Calle Sombrerete, 20', '28012 Madrid', 'Spain']}",+34 910 84 30 96,Cafelito,,[],,,,,,,
35,La Casa del Abuelo,5,"Calle de la Victoria, 12, 28012 Madrid, Spain",Spanish Tapas/Small Plates Seafood ,"This place came highly recommended in several travel blogs and I am just realizing that it was featured in the show Somebody Feed Phil. We were heading to.... This place is just ok. If you happen to be walking by and would like to stop for a bite and a drink, it's pretty decent. We had the shrimp croquettes and.... Other than the guy behind the counter being a complete Richard, this place was really good. My wife and I were on vacation in Madrid and we saw this place.... ",la-casa-del-abuelo-madrid-3,https://s3-media4.fl.yelpcdn.com/bphoto/iNiAJYHIiJxu2fE_VGCdSg/o.jpg,False,174,"{'latitude': 40.415767, 'longitude': -3.701606}","{'address1': 'Calle de la Victoria, 12', 'address2': None, 'address3': None, 'city': 'Madrid', 'zip_code': '28012', 'country': 'ES', 'state': 'M', 'display_address': ['Calle de la Victoria, 12', '28012 Madrid', 'Spain']}",+34 915 21 23 19,La Casa del Abuelo,,[],,,,,,,
36,Bacira,5,"Calle del Castillo, 16, 28010 Madrid, Spain",Spanish Asian Fusion ,"An affordable Michelin-starred restaurant in Madrid! 

Bacira, like many Spanish restaurants, has a menú del día for weekday lunches, and this one is easily.... Alert alert, this is a legitimate destination restaurant if you're in Madrid. I honestly can't remember the last meal I had at this price point -- $115 US.... MUST HAVE THE FRESH TUNA AND ALSO THE RISOTTO!!!

Everything we ate here was top notch. The flavors were all unlike anything I've ever ate. The atmosphere.... ",bacira-madrid,https://s3-media2.fl.yelpcdn.com/bphoto/aHvHD03SYBgutgGDjwKzkA/o.jpg,False,20,"{'latitude': 40.43391466, 'longitude': -3.69916856}","{'address1': 'Calle del Castillo, 16', 'address2': '', 'address3': '', 'city': 'Madrid', 'zip_code': '28010', 'country': 'ES', 'state': 'M', 'display_address': ['Calle del Castillo, 16', '28010 Madrid', 'Spain']}",+34 918 66 40 30,Bacira,,[],,,,,,,
37,Plaza España 9,4,"Plaza de España, 9, 28008 Madrid, Spain",Spanish ,"Best food, best drinks, and all traditional! The owner gave us his back story on why the food is SOOOO good! His brothers cooks and was taught by his mother.... This restaurant does not exist anymore. Building 9 now has a ice cream shop along with a bar next door.. After sightseeing all day we came in for a very late lunch. From reviews I read I wanted to try the mix paella since it's one of the best in Madrid. We were.... ",plaza-españa-9-madrid,https://s3-media2.fl.yelpcdn.com/bphoto/jk-D6bLsnQYWzluGl_k4GQ/o.jpg,False,49,"{'latitude': 40.422059, 'longitude': -3.713773}","{'address1': 'Plaza de España, 9', 'address2': None, 'address3': '', 'city': 'Madrid', 'zip_code': '28008', 'country': 'ES', 'state': 'M', 'display_address': ['Plaza de España, 9', '28008 Madrid', 'Spain']}",+34 915 42 10 12,Plaza España 9,,[],,,,,,,
38,Diverxo,5,"Calle Padre Damián, 23, 28020 Madrid, Spain",Signature Cuisine Mediterranean ,"Diverxo is one of the most memorable, mindfuck meals I've had in my life. Highlight of my year and my trip, and Top 5 meals of my life so far.

If you're on.... I came in with lofty expectations and they just weren't met.  Ambiance and service were top notch.

Pace of the meal was too long, but it almost had to be.... Wonderful dining experience.  Food as art.  Finesse to the extreme.  Every flavor one can imagine.  Wine pairing was best ever. Nine unique and perfectly.... ",diverxo-madrid,https://s3-media2.fl.yelpcdn.com/bphoto/UqDT1RAuOOEqA5_u8ju-wg/o.jpg,False,53,"{'latitude': 40.457888263931, 'longitude': -3.68604997698104}","{'address1': 'Calle Padre Damián, 23', 'address2': '', 'address3': '', 'city': 'Madrid', 'zip_code': '28020', 'country': 'ES', 'state': 'M', 'display_address': ['Calle Padre Damián, 23', '28020 Madrid', 'Spain']}",+34 915 70 07 66,Diverxo,,[],,,,,,,
39,La Cabaña Argentina,5,"Calle de Ventura de la Vega, 10, 28014 Madrid, Spain",Argentine Steakhouses ,What a great surprise to find this restaurant it will be worth the trip down this small road.  Artichokes we're out of this world and the ribeye steak and.... Place was insanely good. Only problem is I was to full or order seconds. Highly recommend for amazing food . Everything tasted beyond good. Ambiance was.... Spectacular food. My wife had the octopus and I had the steak with pepper sauce. We followed that up with a bottle of wine and an amazing flambé crepe with.... ,la-cabaña-argentina-madrid-2,https://s3-media1.fl.yelpcdn.com/bphoto/a-EUqjQFXg6yR6jJpLUvTA/o.jpg,False,68,"{'latitude': 40.4157422, 'longitude': -3.6990175}","{'address1': 'Calle de Ventura de la Vega, 10', 'address2': '', 'address3': '', 'city': 'Madrid', 'zip_code': '28014', 'country': 'ES', 'state': 'M', 'display_address': ['Calle de Ventura de la Vega, 10', '28014 Madrid', 'Spain']}",+34 913 69 72 02,La Cabaña Argentina,,[],,,,,,,
40,Goiko Grill,4,"Calle de María de Molina, 20, 28006 Madrid, Spain",Burgers American (Traditional) Cafeteria ,"There is no other word than AMAZING !!!! Best burgers i ever had and believe me, i ate a lot of burgers in my life !
I tried almost the whole menu by now.... After three weeks in Europe (and lots of our own cooking,) we were jonesing for a premium burger. Lots of local and chain options where we're staying in the.... Well finally took the time to try out the famous hamburgues in Goiko grill. This franchise is all over Spain, and now I was gonna taste a burguer from them.... ",goiko-grill-madrid,https://s3-media4.fl.yelpcdn.com/bphoto/Grb4NFvSihd6Lxyjpfi6rA/o.jpg,False,72,"{'latitude': 40.437668, 'longitude': -3.686709}","{'address1': 'Calle de María de Molina, 20', 'address2': '', 'address3': '', 'city': 'Madrid', 'zip_code': '28006', 'country': 'ES', 'state': 'M', 'display_address': ['Calle de María de Molina, 20', '28006 Madrid', 'Spain']}",+34 910 60 99 36,Goiko Grill,,[],,,,,,,
41,Takos al Pastor,5,"Calle de la Abada, 2, 28013 Madrid, Spain",Mexican ,"Takos Al Pastor has been a favorite of mine in Madrid since 2018. Back then, the location was tiny but the new and improved location is as good and much.... My boyfriend has a way of finding good tacos everywhere we go so he led us here. We ended up coming here twice during our 3 days in Madrid! It's in a very.... Did I wait in line for over two hours? Yes. Was it worth it? Depending! 

This taco place is fantastic! If you live in Spain, or are in an area with limited.... ",takos-al-pastor-madrid,https://s3-media4.fl.yelpcdn.com/bphoto/MTd-4TD037VRN_dp5j7CcA/o.jpg,False,424,"{'latitude': 40.4189626550889, 'longitude': -3.70364716931158}","{'address1': 'Calle de la Abada, 2', 'address2': '', 'address3': '', 'city': 'Madrid', 'zip_code': '28013', 'country': 'ES', 'state': 'M', 'display_address': ['Calle de la Abada, 2', '28013 Madrid', 'Spain']}",+34 680 24 72 17,Takos al Pastor,,[],,,,,,,
42,Kuoco 360,5,"Calle de San Bartolomé, 14, 28004 Madrid, Spain",Spanish Latin American Asian Fusion ,"superb. sublime. extremely good. we've dined from san francisco to paris and this was full-stop one of, if not THE best meals i've ever had. we had the.... I would recommend Kuoco to anyone. We tried their tasting menu and it was phenomenal. For 72 euros, it was probably one of the pricier meals I've had in.... This was our first stop after landing and settling in Madrid! Wasn't sure what to expect but just knew from recommendations from friends that this was place.... ",kuoco-360-madrid,https://s3-media4.fl.yelpcdn.com/bphoto/UYJutprcBumE_sbPbTnyeA/o.jpg,False,29,"{'latitude': 40.42194, 'longitude': -3.69838}","{'address1': 'Calle de San Bartolomé, 14', 'address2': '', 'address3': None, 'city': 'Madrid', 'zip_code': '28004', 'country': 'ES', 'state': 'M', 'display_address': ['Calle de San Bartolomé, 14', '28004 Madrid', 'Spain']}",+34 911 99 53 77,,,[],,,,,,,
43,Zenith,5,"Calle de Valverde, 28, 28004 Madrid, Spain",Breakfast & Brunch Cocktail Bars ,"This was one of the places I had saved on my restaurants to visit when I was in Madrid for NYE, and I was so glad I was able to pop in. It also helped that.... Modern, spacious, and great ambiance 

My boyfriend and I came for brunch and got seated pretty quickly. We ordered the zenith pancakes and eggs Benedict.... Great service! Ordered the peanut butter pancakes  and eggs and bacon pancakes with a mimosa. Everything was delicious!. ",zenith-madrid-3,https://s3-media2.fl.yelpcdn.com/bphoto/0vbrKGAvYZWKdmoaV6X07w/o.jpg,False,44,"{'latitude': 40.42235, 'longitude': -3.7016}","{'address1': 'Calle de Valverde, 28', 'address2': None, 'address3': '', 'city': 'Madrid', 'zip_code': '28004', 'country': 'ES', 'state': 'M', 'display_address': ['Calle de Valverde, 28', '28004 Madrid', 'Spain']}",+34 912 12 42 99,,,[],,,,,,,
44,Más Al Sur,5,"Calle de Santa Isabel, 35, 28012 Madrid, Spain",Spanish ,"This is the very first stop we did in Madrid. And it could not have been more perfect. It was a few blocks from our hotel, and it's a very small and cozy.... Great tapas bar in the heart of Madrid. Our hotel staff recommended this as one of the best places for tapas in the city - it helped that it was just a few.... One night during our trip, we were looking around for the best paella and chanced upon this restaurant. We were immediately greeted and seated by the.... ",más-al-sur-madrid,https://s3-media3.fl.yelpcdn.com/bphoto/32MaytmM8iEuHmUnYGkdHg/o.jpg,False,129,"{'latitude': 40.41002, 'longitude': -3.69693}","{'address1': 'Calle de Santa Isabel, 35', 'address2': '', 'address3': '', 'city': 'Madrid', 'zip_code': '28012', 'country': 'ES', 'state': 'M', 'display_address': ['Calle de Santa Isabel, 35', '28012 Madrid', 'Spain']}",+34 910 24 99 36,Más Al Sur,,[],,,,,,,
45,La Tasqueria,5,"Calle Duque de Sesto, 48, 28009 Madrid, Spain",Spanish Mediterranean ,"This is definitely my favorite restaurant in Madrid, they are wild enough to make anything into best food, and the sauces they make are so creative ! Every.... Like Brad M., my boyfriend and I also decided to make this our last meal in Spain.  After two weeks roaming around this lovely country, we decided to end.... To our surprise we were able to get last-minute reservations to this place on a Friday night for our last dinner in Spain.  We wanted to make sure it was.... ",la-tasqueria-madrid-3,https://s3-media2.fl.yelpcdn.com/bphoto/71cLsfRuUN6tw0yUixEDOw/o.jpg,False,22,"{'latitude': 40.422279, 'longitude': -3.67374}","{'address1': 'Calle Duque de Sesto, 48', 'address2': '', 'address3': '', 'city': 'Madrid', 'zip_code': '28009', 'country': 'ES', 'state': 'M', 'display_address': ['Calle Duque de Sesto, 48', '28009 Madrid', 'Spain']}",+34 914 51 10 00,La Tasqueria,,[],,,,,,,
46,El Mini Bar,5,"Calle del Mesón de Paños, 1, 28013 Madrid, Spain",Tapas Bars Spanish ,"This place was just amazing! Did a search of our area for tapas restaurants and this one showed as highly rated. The place was busy when we got there and.... We had a reservation and had to wait maybe 10-15 minutes, which was fine. It was such a fun vibe, small inside but very chill and exciting. Good service and.... The best tapas my family had in Madrid! The staff is super friendly and accommodating.  It gets crowded during the typical dinner hours so we would go a.... ",el-mini-bar-madrid-2,https://s3-media1.fl.yelpcdn.com/bphoto/zvn2UM2DtnuwM8ClNvfb9A/o.jpg,False,69,"{'latitude': 40.4163165676116, 'longitude': -3.709223}","{'address1': 'Calle del Mesón de Paños, 1', 'address2': '', 'address3': '', 'city': 'Madrid', 'zip_code': '28013', 'country': 'ES', 'state': 'M', 'display_address': ['Calle del Mesón de Paños, 1', '28013 Madrid', 'Spain']}",+34 616 00 97 04,El Mini Bar,,[],,,,,,,
47,Yokaloka,5,"Calle de Santa Isabel, 5, 28012 Madrid, Spain",Sushi Bars Japanese ,"Este restaurante tiene unos platillos muy exquisitos, de verdad que disfruto mucho los almuerzos de aqui. Such a cute spot in a cute market! I enjoyed the sushi for a fair price. Good service and good food. This adorable authentic spot for sushi is located in the bare bones basement of Mercado Anton Martin. Snag a seat at the sushi bar ( reservations are a must.... ",yokaloka-madrid,https://s3-media2.fl.yelpcdn.com/bphoto/-TMcwEu5HYcG2O2rp42XqA/o.jpg,False,100,"{'latitude': 40.4114189, 'longitude': -3.6987901}","{'address1': 'Calle de Santa Isabel, 5', 'address2': '', 'address3': '', 'city': 'Madrid', 'zip_code': '28012', 'country': 'ES', 'state': 'M', 'display_address': ['Calle de Santa Isabel, 5', '28012 Madrid', 'Spain']}",+34 610 60 27 22,Yokaloka,,[],,,,,,,
48,Toma Café,4,"Calle de la Palma, 49, 28004 Madrid, Spain",Coffee & Tea Breakfast & Brunch ,"I absolutely loved the coffee selection at Toma Café! They had a little bit of everything. I didn't see what food options they had, but the cake looked.... Cute little quick service cafe, no laptops in the front but laptops allowed in the bar seating in the back! It was almost empty when we arrived, but 3/4 of.... Venimos acá a tomar un café. Es un lugar muy íntimo y más para hablar con otros que para trabar. There is, however, bar seating where you can work on your.... ",toma-café-madrid-2,https://s3-media1.fl.yelpcdn.com/bphoto/DlN6eecnlXA41R_uYyUCeA/o.jpg,False,213,"{'latitude': 40.426476, 'longitude': -3.705937}","{'address1': 'Calle de la Palma, 49', 'address2': '', 'address3': '', 'city': 'Madrid', 'zip_code': '28004', 'country': 'ES', 'state': 'M', 'display_address': ['Calle de la Palma, 49', '28004 Madrid', 'Spain']}",+34 917 02 56 20,Toma Café,,[],,,,,,,
49,MartinaCocina,4,"Plaza de Cascorro, 11, 28005 Madrid, Spain",Modern European Coffee & Tea Caterers ,"The staff is really amazing. Everybody is committed to make you feel at home. 

The quality of the food is good. Fresh ingredients and very good taste..... Awesome food and terrific service. We went for breakfast and loved the avocado toast and eggs. Beautiful patio too.. I'm so happy this cafe was so close to the Airbnb! It's extremely cute, with a nice vibe. We really enjoyed the music they played, including a Spanish.... ",martinacocina-madrid,https://s3-media4.fl.yelpcdn.com/bphoto/veFl02BlIdzx_0tbHxlaLA/o.jpg,False,37,"{'latitude': 40.410455, 'longitude': -3.70739}","{'address1': 'Plaza de Cascorro, 11', 'address2': None, 'address3': '', 'city': 'Madrid', 'zip_code': '28005', 'country': 'ES', 'state': 'M', 'display_address': ['Plaza de Cascorro, 11', '28005 Madrid', 'Spain']}",+34 910 83 43 80,MartinaCocina,,[],,,,,,,
